Data	ClienteID	FuncionarioID	ValorFrete	CupomID	EmpresaFrete	DataEntrega
22/03/2018	78	11	12,45	11081	Freight Express	05/04/2018
21/11/2016	62	3	20,01	10637	One Liners	24/11/2016
16/09/2017	64	3	20,36	11019	One Liners	03/10/2017
02/07/2017	80	11	20,53	10982	Freight Express	04/07/2017
16/09/2016	28	5	20,61	10328	Ship for U	29/09/2016
29/09/2017	79	7	20,88	10548	One Liners	13/10/2017
30/11/2014	61	2	21,08	10291	One Liners	19/12/2014
02/09/2016	32	11	21,15	10720	Freight Express	10/09/2016
05/11/2017	87	7	21,29	10270	One Liners	07/11/2017
06/03/2017	32	11	21,31	10656	Freight Express	24/03/2017
22/08/2017	79	68	21,35	11029	One Liners	03/09/2017
11/11/2017	54	3	21,39	10531	One Liners	25/11/2017
04/06/2017	69	5	21,46	10917	Ship for U	19/06/2017
11/05/2017	88	2	21,48	10874	One Liners	21/05/2017
22/01/2017	27	56	21,49	10710	Ship for U	05/02/2017
06/03/2018	46	9	21,62	10997	One Liners	23/03/2018
08/07/2015	82	11	21,74	10493	Freight Express	27/07/2015
30/03/2018	19	3	21,76	11047	One Liners	15/04/2018
28/10/2017	31	9	21,83	11049	One Liners	02/11/2017
16/11/2016	69	14	21,86	10281	Ship for U	01/12/2016
27/09/2015	32	11	21,89	10390	Freight Express	14/10/2015
26/11/2017	35	3	21,92	10901	One Liners	15/12/2017
12/12/2016	37	9	21,92	10301	One Liners	03/01/2017
17/11/2016	69	5	22,03	10282	Ship for U	27/11/2016
07/08/2016	1	68	22,22	10692	One Liners	22/08/2016
11/10/2014	46	2	22,4	10296	One Liners	24/10/2014
28/12/2017	26	68	22,41	10971	One Liners	01/01/2018
22/03/2016	32	11	22,48	10416	Freight Express	04/04/2016
20/01/2018	51	11	22,5	10332	Freight Express	05/02/2018
18/10/2016	19	3	22,56	10256	One Liners	30/10/2016
19/01/2017	31	3	22,66	10709	One Liners	03/02/2017
04/02/2015	89	2	22,69	10344	One Liners	22/02/2015
24/12/2017	18	56	22,76	10311	Ship for U	07/01/2018
15/03/2017	44	68	22,82	10772	One Liners	30/03/2017
19/06/2016	86	68	22,86	10668	One Liners	05/07/2016
11/03/2018	30	5	22,92	10872	Ship for U	28/03/2018
11/01/2015	80	11	22,95	10276	Freight Express	19/01/2015
24/03/2017	73	9	23,04	10787	One Liners	05/04/2017
19/02/2017	1	68	23,05	10743	One Liners	25/02/2017
19/09/2016	26	7	23,05	10671	One Liners	22/09/2016
23/01/2017	37	3	23,09	10712	One Liners	03/02/2017
27/07/2015	46	3	23,11	10543	One Liners	13/08/2015
28/02/2016	41	14	23,12	10425	Ship for U	18/03/2016
25/06/2017	23	56	23,19	10966	Ship for U	06/07/2017
15/07/2017	76	5	23,2	10252	Ship for U	28/07/2017
16/06/2015	37	3	23,33	10442	One Liners	17/06/2015
21/03/2017	46	3	23,35	10780	One Liners	10/04/2017
10/07/2017	91	68	23,47	10870	One Liners	18/07/2017
06/10/2017	63	68	23,51	10865	One Liners	27/10/2017
07/02/2017	37	9	23,56	10346	One Liners	26/02/2017
03/03/2015	29	14	23,84	10366	Ship for U	22/03/2015
04/07/2017	22	14	23,89	11082	Ship for U	19/07/2017
26/09/2016	63	7	23,98	10795	One Liners	10/10/2016
28/02/2017	59	5	24	10755	Ship for U	02/03/2017
26/03/2017	21	2	24,02	10512	One Liners	07/04/2017
09/06/2017	62	3	24,03	10868	One Liners	24/06/2017
13/03/2017	2	3	24,44	10625	One Liners	19/03/2017
01/06/2017	80	11	24,52	10915	Freight Express	15/06/2017
05/08/2015	48	11	24,58	10317	Freight Express	13/08/2015
07/01/2018	58	7	24,83	10322	One Liners	15/01/2018
23/12/2017	63	7	24,88	10962	One Liners	28/12/2017
13/08/2017	1	68	24,92	11005	One Liners	22/08/2017
07/04/2018	79	7	24,92	10809	One Liners	22/04/2018
20/08/2017	58	7	25	10354	One Liners	24/08/2017
05/10/2016	63	7	25,1	10588	One Liners	16/10/2016
22/03/2017	44	68	25,14	10781	One Liners	09/04/2017
28/11/2016	1	68	25,25	10289	One Liners	11/12/2016
26/10/2016	91	68	25,3	10792	One Liners	29/10/2016
13/11/2016	5	9	25,36	10626	One Liners	26/11/2016
20/04/2017	5	9	25,42	10837	One Liners	06/05/2017
23/11/2017	46	3	25,47	10899	One Liners	10/12/2017
15/04/2015	10	11	25,49	10410	Freight Express	27/04/2015
10/10/2016	25	7	25,5	10623	One Liners	13/10/2016
11/03/2018	37	9	25,5	10373	One Liners	17/03/2018
08/01/2017	89	2	25,54	10693	One Liners	20/01/2017
27/07/2017	47	3	25,61	11039	One Liners	13/08/2017
15/08/2017	58	68	25,62	11073	One Liners	23/08/2017
12/08/2015	32	11	25,64	10528	Freight Express	19/08/2015
04/05/2017	19	3	25,71	10804	One Liners	14/05/2017
05/08/2017	32	11	25,77	11061	Freight Express	15/08/2017
07/04/2018	19	3	25,87	10808	One Liners	21/04/2018
01/02/2017	51	11	25,96	10724	Freight Express	14/02/2017
15/09/2016	89	3	25,96	10740	One Liners	16/09/2016
01/06/2017	29	5	26,05	10426	Ship for U	04/06/2017
08/07/2015	15	9	26,06	10494	One Liners	25/07/2015
12/11/2017	9	14	26,13	10876	Ship for U	25/11/2017
26/04/2017	7	5	26,24	10360	Ship for U	13/05/2017
11/08/2017	25	68	26,25	10929	One Liners	18/08/2017
19/12/2016	25	7	26,27	10670	One Liners	22/12/2016
01/08/2016	84	5	26,28	10459	Ship for U	12/08/2016
30/01/2018	19	3	26,34	10980	One Liners	13/02/2018
25/06/2015	23	56	26,41	10480	Ship for U	08/07/2015
07/01/2016	20	14	26,43	10403	Ship for U	22/01/2016
13/04/2017	17	7	26,47	10824	One Liners	20/04/2017
16/10/2017	32	11	26,55	10945	Freight Express	28/10/2017
16/06/2015	11	2	26,66	10471	One Liners	05/07/2015
23/06/2017	31	9	26,74	10959	One Liners	06/07/2017
09/12/2017	40	5	26,94	10927	Ship for U	16/12/2017
14/03/2017	6	7	26,97	10501	One Liners	20/03/2017
21/07/2017	19	3	27,01	11024	One Liners	23/07/2017
30/10/2015	80	11	27,16	10518	Freight Express	31/10/2015
17/02/2018	46	9	27,5	11071	One Liners	02/03/2018
03/02/2016	71	3	27,57	10398	One Liners	12/02/2016
24/03/2017	62	3	27,74	10786	One Liners	11/04/2017
05/09/2017	77	11	27,96	11080	Freight Express	07/09/2017
19/02/2017	79	68	28,19	10708	One Liners	20/02/2017
08/08/2017	1	7	28,2	10812	One Liners	28/08/2017
09/02/2015	21	2	28,29	10347	One Liners	17/02/2015
22/02/2017	1	7	28,47	10748	One Liners	28/02/2017
23/07/2017	42	11	28,48	11031	Freight Express	01/08/2017
21/10/2016	17	68	28,49	10603	One Liners	29/10/2016
22/02/2016	84	14	28,49	10478	Ship for U	05/03/2016
24/09/2016	32	11	28,5	10607	Freight Express	07/10/2016
12/07/2017	37	3	28,52	11003	One Liners	25/07/2017
05/02/2018	1	7	28,57	10994	One Liners	08/02/2018
28/10/2016	7	5	28,57	10265	Ship for U	01/11/2016
27/11/2016	32	11	28,61	10644	Freight Express	08/12/2016
06/10/2016	44	7	28,66	10464	One Liners	20/10/2016
20/09/2017	47	3	28,77	10954	One Liners	04/10/2017
19/10/2017	17	7	28,79	10538	One Liners	06/11/2017
31/08/2016	38	9	28,88	10315	One Liners	09/09/2016
20/04/2015	37	3	29,01	10415	One Liners	03/05/2015
03/03/2016	46	9	29,04	10461	One Liners	15/03/2016
08/08/2015	32	11	29,05	10370	Freight Express	10/08/2015
09/06/2015	16	2	29,06	10435	One Liners	27/06/2015
05/09/2017	56	7	29,16	10554	One Liners	20/09/2017
08/10/2016	79	7	29,2	10249	One Liners	19/10/2016
18/08/2016	58	68	29,44	10474	One Liners	28/08/2016
25/05/2017	54	3	29,47	10898	One Liners	30/05/2017
21/06/2017	4	9	29,59	10953	One Liners	03/07/2017
11/12/2016	19	9	29,65	10660	One Liners	12/12/2016
09/11/2016	73	9	29,81	10275	One Liners	21/11/2016
25/09/2017	80	11	29,84	10847	Freight Express	06/10/2017
15/09/2015	37	3	29,87	10503	One Liners	16/09/2015
20/04/2017	73	9	29,88	10417	One Liners	03/05/2017
24/06/2015	63	68	30,01	10479	One Liners	02/07/2015
21/04/2016	44	68	30,02	10569	One Liners	28/04/2016
18/06/2017	30	5	30,03	10948	Ship for U	24/06/2017
29/11/2017	90	9	30,08	10910	One Liners	14/12/2017
25/12/2015	39	3	30,09	10542	One Liners	31/12/2015
23/10/2015	13	3	30,11	10259	One Liners	01/11/2015
19/07/2017	34	3	30,11	10886	One Liners	02/08/2017
23/10/2015	82	11	30,11	10511	Freight Express	06/11/2015
07/11/2017	62	2	30,16	10372	One Liners	18/11/2017
16/06/2017	42	11	30,3	10943	Freight Express	03/07/2017
31/07/2015	39	3	30,41	10456	One Liners	16/08/2015
30/12/2017	42	11	30,43	10851	Freight Express	08/01/2018
21/03/2017	46	3	30,44	10330	One Liners	07/04/2017
13/11/2017	63	7	30,44	10938	One Liners	28/11/2017
25/01/2017	60	14	30,45	10336	Ship for U	06/02/2017
23/08/2017	89	9	30,6	11032	One Liners	04/09/2017
21/06/2017	73	9	30,61	10951	One Liners	28/06/2017
14/02/2016	19	9	30,63	10563	One Liners	17/02/2016
27/10/2017	63	7	30,64	10263	One Liners	02/11/2017
01/02/2018	73	3	30,83	10341	One Liners	12/02/2018
07/07/2017	1	68	30,9	10990	One Liners	10/07/2017
18/04/2017	41	5	30,97	10832	Ship for U	19/04/2017
02/03/2017	2	2	31,1	10759	One Liners	20/03/2017
05/09/2017	33	3	31,11	10984	One Liners	06/09/2017
01/08/2016	39	3	31,17	10718	One Liners	15/08/2016
10/03/2017	63	7	31,17	10658	One Liners	23/03/2017
25/09/2016	80	11	31,24	10576	Freight Express	30/09/2016
05/02/2017	62	3	31,39	10728	One Liners	09/02/2017
19/03/2018	10	11	31,41	10949	Freight Express	23/03/2018
08/01/2017	63	7	31,5	10694	One Liners	10/01/2017
26/09/2016	37	3	31,69	10751	One Liners	30/09/2016
07/07/2015	44	68	31,75	10492	One Liners	21/07/2015
01/12/2016	37	3	31,78	10520	One Liners	08/12/2016
05/02/2017	80	11	31,78	10727	Freight Express	19/02/2017
26/06/2015	61	2	31,83	10421	One Liners	05/07/2015
18/04/2016	5	9	31,84	10445	One Liners	01/05/2016
31/03/2016	36	11	31,84	10394	Freight Express	16/04/2016
27/07/2017	23	56	31,88	11038	Ship for U	03/08/2017
10/10/2017	32	11	31,89	10816	Freight Express	26/10/2017
24/09/2016	23	56	31,92	10789	Ship for U	10/10/2016
09/06/2017	5	3	31,99	10924	One Liners	22/06/2017
16/11/2016	44	68	32,07	10631	One Liners	19/11/2016
29/11/2016	61	3	32,08	10647	One Liners	08/12/2016
21/06/2017	30	5	32,12	10888	Ship for U	30/06/2017
31/07/2015	39	9	32,32	10457	One Liners	11/08/2015
23/07/2017	23	56	32,34	11030	Ship for U	27/07/2017
10/09/2016	47	3	32,34	10697	One Liners	26/09/2016
25/05/2017	73	9	32,36	10900	One Liners	04/06/2017
15/07/2017	69	14	32,37	11013	Ship for U	31/07/2017
21/08/2016	82	11	32,38	10779	Freight Express	12/09/2016
06/10/2017	4	3	32,43	10864	One Liners	20/10/2017
08/07/2017	63	7	32,59	10996	One Liners	17/07/2017
30/10/2017	87	68	32,72	10266	One Liners	31/10/2017
21/03/2017	5	9	32,8	10778	One Liners	30/03/2017
11/06/2017	19	3	32,82	10933	One Liners	17/06/2017
12/08/2017	17	68	32,88	11067	One Liners	29/08/2017
30/12/2016	73	3	32,96	10582	One Liners	12/01/2017
12/03/2018	24	68	33,18	11001	One Liners	13/03/2018
28/08/2014	65	2	33,19	10262	One Liners	07/09/2014
16/02/2018	59	5	33,28	10353	Ship for U	19/02/2018
26/07/2015	71	9	33,5	10452	One Liners	27/07/2015
25/09/2016	82	11	33,52	10577	Freight Express	06/10/2016
03/05/2016	32	11	33,57	10758	Freight Express	16/05/2016
01/03/2015	19	2	33,65	10364	One Liners	18/03/2015
28/11/2017	60	5	33,73	10397	Ship for U	13/12/2017
18/12/2016	73	3	33,74	10669	One Liners	31/12/2016
19/10/2016	35	9	33,98	10257	One Liners	26/10/2016
15/06/2017	49	56	34,2	10939	Ship for U	25/06/2017
21/02/2017	82	11	34,33	10746	Freight Express	24/02/2017
13/08/2017	86	7	34,34	10348	One Liners	26/08/2017
09/11/2017	82	11	34,42	10918	Freight Express	15/11/2017
15/01/2017	37	9	34,44	10701	One Liners	24/01/2017
27/12/2017	15	9	34,54	10969	One Liners	01/01/2018
30/07/2017	59	5	34,67	10484	Ship for U	20/08/2017
20/03/2016	19	3	34,69	10475	One Liners	01/04/2016
15/08/2017	80	11	34,81	11069	Freight Express	02/09/2017
11/05/2015	7	14	34,85	10559	Ship for U	17/05/2015
05/10/2016	63	7	34,85	10691	One Liners	10/10/2016
09/02/2017	31	9	34,9	10734	One Liners	23/02/2017
11/06/2015	49	56	34,95	10467	Ship for U	21/06/2015
02/03/2015	3	2	35,04	10365	One Liners	09/03/2015
09/11/2017	85	5	35,09	10274	Ship for U	27/11/2017
05/08/2017	19	2	35,17	10294	One Liners	14/08/2017
04/10/2016	61	3	35,34	10587	One Liners	25/10/2016
28/07/2017	59	5	35,5	11042	Ship for U	18/08/2017
